Heart disease_number,COPD_number,CKD_number,anycondition_number,60-69,High school diploma only 2014-18,Population Aged 60+,70-79,diabetes_number,Obesity_number,county_pop2018_18 and older,TOT_POP,POP_ESTIMATE_2018,50-59,Total Population,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,80+,40-49,White-alone pop,19-Oct,0-9,20-29,30-39,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),POVALL_2018,Total nurse practitioners (2019),Total Specialist Physicians (2019),Bachelor's degree or higher 2014-18,Total physician assistants (2019),Internal Medicine Primary Care (2019),Less than a high school diploma 2014-18,Total Hospitals (2019),ICU Beds_x,GQ_ESTIMATES_2018,Two or more races pop,Black-alone pop,Asian-alone pop,Native American/American Indian-alone pop,N_POP_CHG_2018,Hawaiian/Pacific Islander-alone pop,% Asian-alone,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Upper 95% CI,Percent of adults with a high school diploma only 2014-18,Urban_rural_code
75432,83735,34032,476128,148544,254006,257269,90278,137266,361693,1112902,1436888,1436888,185433,1351087,267602,735690,710804,47214,190855,1067329,181459,179306,204538,209261,24886,558.5826142,207358,833.8262213,1963.336935,305581,411.0439455,782.2180449,108569,14.63918204,432,22977,40090,256401,63646,7543,26773,1879,4.429433609,32.7,33.5,6.8,7.3,27.1,1
1728,2056,627,8500,2501,5489,4989,1721,2366,6200,15539,19477,19477,2652,19483,3955,6983,6706,963,2465,17333,2223,2094,2569,2289,277,7.57158079,4232,11.30250466,26.61300914,1444,5.571695864,10.60295643,3173,0.198433941,0,1776,462,1314,130,203,29,35,0.66745392,10.3,41.2,11.1,12.2,39.0,6
14559,14194,5424,55067,26407,34393,57277,23797,18745,36618,132194,157413,157413,21158,147981,35433,65104,62318,14530,15020,136812,14940,13179,14432,13950,2786,61.19347162,16775,91.34677648,215.0861841,32781,45.03041336,85.69303182,13034,1.60374195,40,1327,2424,14926,2484,688,3099,79,1.578014522,28.3,29.1,11.0,12.3,29.7,4
3954,4501,1520,20546,6010,13242,12035,4239,6138,14715,39344,48305,48305,6280,48571,10551,17542,16846,2388,6435,33425,5225,4801,6332,6595,696,18.7783134,9492,28.03139536,66.0030501,4752,13.81838932,26.29644249,6825,0.492136957,7,7784,978,12972,365,423,-55,142,0.755615361,13.4,38.4,10.1,10.9,37.4,6
1184,1297,478,5820,2232,3632,4326,1534,1880,4387,11857,14288,14288,2195,14085,2918,5582,5373,735,1787,9013,1357,1326,1502,1620,209,5.55438447,2317,8.291327542,19.52285643,2404,4.087302485,7.778150716,1956,0.145567806,0,1284,218,4902,91,59,141,5,0.636898096,22.0,38.3,10.0,10.9,33.3,3
690,810,254,3429,911,2507,1667,615,959,2555,6961,8732,8732,1022,8684,1203,2847,2756,344,1321,7325,1142,854,1377,1146,91,3.39451884,1521,5.067180298,11.93124176,969,2.497923103,4.753556275,1467,0.088962631,0,1481,121,1179,26,71,109,10,0.297755383,15.8,38.0,9.9,10.9,40.8,6
28883,29587,10946,133006,50609,81305,107419,45236,40608,99150,288227,356495,356495,45853,326215,83228,155273,149818,24161,40171,297834,38649,36202,37040,38574,5455,138.5855467,40582,206.874077,487.1081119,56151,101.980886,194.0699776,26405,3.632012517,158,3869,7382,40389,8062,2165,11408,663,2.261462293,22.7,35.6,10.0,11.0,32.9,2
62563,62499,24146,233809,113235,165834,239488,103102,80680,153009,621987,754610,754610,97130,700165,157968,342684,331050,53919,80551,654951,76645,70745,79239,80044,11634,293.3506484,90400,437.9002433,1031.085015,149514,215.8678141,410.7971943,64525,7.688054434,141,8484,13234,68511,13271,3792,15104,851,1.75865679,27.8,25.7,10.1,11.1,30.8,3
14144,16087,6445,92379,29301,32510,49057,17127,22914,71409,238030,292502,292502,30795,285890,48977,154655,149478,8191,29923,180974,41028,30029,70792,35316,5177,113.7086063,57656,169.738934,399.6692715,77725,83.67470265,159.2332475,10819,2.980044391,60,15162,6704,92629,10992,1001,1255,202,3.757923023,45.7,31.4,5.9,6.5,19.1,3
3872,4325,1426,17429,6411,11990,12422,4810,5516,12962,32814,40770,40770,5905,39713,8908,16926,16277,2111,4352,35518,4407,4291,4318,4165,649,15.84912198,6521,23.65883426,55.70736678,3683,11.6628865,22.19451321,4590,0.415369501,0,332,787,3825,305,298,464,37,0.748099093,12.6,40.7,11.8,12.8,41.1,6
621,754,231,3581,896,2877,1621,548,908,2604,6945,8457,8457,1119,8347,1250,2643,2543,269,1308,6513,897,772,1334,1314,100,3.287614044,1523,4.907597776,11.5554869,761,2.419255117,4.603850826,1119,0.086160899,0,2081,147,1654,38,101,215,4,0.449331914,12.7,38.7,8.9,9.7,47.9,6
1674,1888,660,7811,2599,5128,4779,1660,2517,5789,15037,18529,18529,2495,18518,3871,7348,7062,864,2343,11020,1938,1903,2402,2325,286,7.203050801,3752,10.75238018,25.31767964,1854,5.300505861,10.08688092,2597,0.188775607,0,2043,281,7001,91,131,64,5,0.491122025,13.8,39.5,11.1,12.0,38.1,6
32766,32144,12242,146508,59541,84529,120595,49816,43242,90043,322734,394855,394855,53588,363542,81838,177777,171752,28502,43103,340200,41003,38179,40088,41035,6025,153.4977939,40662,229.1343881,539.5224997,81512,112.9543549,214.9525267,29910,4.022828658,90,4810,7229,36105,8954,1998,9405,369,2.267667878,29.3,29.1,10.2,11.3,30.4,3
32863,33454,12360,152080,53538,97059,119425,50525,47754,110189,293055,359977,359977,44919,343778,79054,135746,129921,25800,36754,295682,37185,36299,37940,37017,5825,139.9391558,52818,208.8946819,491.8658517,50132,102.9769657,195.9655207,32787,3.667487538,110,9018,7125,48500,6481,1874,6260,315,1.800392803,19.4,38.9,11.2,12.3,37.5,3
13693,13045,5136,53270,25032,30512,57914,22439,17132,34573,134524,160912,160912,22990,155719,39252,74159,71563,15050,16717,145047,15527,13613,14661,14883,2596,62.55368938,16824,93.37724646,219.8671524,40081,46.0313562,87.59782951,11465,1.639390168,74,4205,2453,9249,2374,1503,1120,286,1.475340559,33.0,27.0,10.2,11.4,25.2,3
169691,148237,81776,841621,290745,533542,563748,189981,312317,652186,2203331,2761581,2761581,389885,2702602,479454,1383302,1330023,124757,394089,2177101,311496,310791,365566,384271,53279,1073.550015,436103,1602.545675,3773.372717,553997,789.992783,1503.358989,355875,28.13530837,593,42228,34080,495637,45768,7707,16703,1288,1.657311518,28.8,30.9,7.7,8.4,27.7,1
5467,5403,2149,24967,11954,16274,22310,7976,8036,17126,63666,75027,75027,12111,76745,18296,45307,44120,3483,9678,66987,5937,6522,8155,9211,1187,29.16634964,8859,43.5381741,102.515492,19850,21.46262903,40.84345701,5180,0.764383801,14,1976,1356,5149,1070,388,-1609,77,1.426153251,33.3,28.1,8.6,9.5,27.3,5
5805,6434,2207,30936,13139,19277,21894,8929,7999,22251,68889,85832,85832,12434,78435,17927,39910,38629,3728,10170,77766,9500,9086,8926,9920,1281,33.36673627,8882,49.80831646,117.2792422,16633,24.55356571,46.72552017,5083,0.874466397,0,543,1497,5189,879,429,2968,72,1.024093578,28.2,33.9,8.4,9.3,32.7,2
11235,12866,4650,65265,23908,33908,41694,14529,17368,46744,161186,207269,207269,27061,197591,50253,96270,93435,7850,22398,168142,23564,26749,31563,29647,2835,80.57472807,25612,120.2782173,283.2084917,42110,59.29249011,112.833813,11232,2.111680675,57,4719,8958,21439,6748,1505,3585,477,3.25567258,30.6,30.3,7.0,7.7,24.7,4
3576,4082,1330,17064,4885,10874,10230,3866,4984,12096,32693,41537,41537,5413,40228,7130,17697,17037,2094,5159,36051,4910,4869,5179,5162,660,16.14728917,8283,24.10392442,56.75538126,3217,11.88229866,22.61205531,7063,0.423183786,8,2989,596,3759,425,647,349,59,1.023184149,11.4,38.1,10.9,11.9,38.4,5
66065,72406,31062,435453,127447,216036,206342,70941,117345,346062,1074728,1380645,1380645,171700,1290216,265083,750160,726303,37399,186896,940371,176280,168705,228307,212970,23857,536.7184453,211307,801.1884039,1886.48755,297568,394.954769,751.6002866,101305,14.06617182,388,35267,37489,313423,78758,7832,27712,2772,5.704435246,33.8,33.2,6.1,6.6,24.5,1
19579,20420,9096,131691,34519,71032,57062,22300,37851,98189,278155,367990,367990,44832,325168,76320,177919,171463,10185,51324,292099,51897,47557,51523,53853,6456,143.0541672,48711,213.5446264,502.8146653,45730,105.2692078,200.3276653,29463,3.749124914,66,3250,10300,50979,10667,2999,15329,946,2.898720074,20.5,36.5,7.0,7.5,31.9,2
104031,102154,43465,494930,182752,258521,414928,153797,163990,352328,1202485,1485941,1485941,199269,1426772,295287,731004,704955,113753,177484,1112092,163691,151868,170402,172925,26049,577.6517087,179359,862.2916811,2030.362038,376461,425.0763117,808.9216863,124483,15.13893971,401,21625,27198,292762,43551,8715,15603,1623,2.930870068,35.7,30.4,8.7,9.6,24.5,2
